depart_time,Time Difference
1990-01-01 16:46:45,0 days 00:03:36
1990-01-01 17:05:49,0 days 00:03:28
1990-01-01 17:37:43,0 days 00:03:13
1990-01-01 17:56:43,0 days 00:03:06
1990-01-01 07:24:45,0 days 00:03:26
1990-01-01 07:44:38,0 days 00:02:42
1990-01-01 08:50:49,0 days 00:03:29
1990-01-01 09:08:58,0 days 00:03:55
1990-01-01 10:20:57,0 days 00:03:28
1990-01-01 10:43:16,0 days 00:05:16
1990-01-01 11:04:42,0 days 00:03:29
1990-01-01 11:24:44,0 days 00:04:22
1990-01-01 11:43:42,0 days 00:02:57
1990-01-01 12:35:12,0 days 00:03:28
1990-01-01 12:55:34,0 days 00:03:39
1990-01-01 07:27:19,0 days 00:03:40
1990-01-01 07:44:55,0 days 00:03:10
1990-01-01 08:49:36,0 days 00:02:52
1990-01-01 09:10:31,0 days 00:03:29
1990-01-01 10:20:34,0 days 00:03:51
1990-01-01 10:45:27,0 days 00:03:24
1990-01-01 11:06:11,0 days 00:03:55
1990-01-01 11:26:14,0 days 00:04:00
1990-01-01 12:34:57,0 days 00:03:00
1990-01-01 12:53:32,0 days 00:03:22
1990-01-01 13:12:43,0 days 00:04:07
1990-01-01 13:55:14,0 days 00:03:57
1990-01-01 12:36:02,0 days 00:03:20
1990-01-01 12:56:37,0 days 00:03:08
1990-01-01 13:18:22,0 days 00:04:56
1990-01-01 15:05:09,0 days 00:03:46
1990-01-01 15:25:38,0 days 00:03:51
1990-01-01 15:45:37,0 days 00:03:36
1990-01-01 16:24:51,0 days 00:03:20
1990-01-01 16:44:34,0 days 00:03:05
1990-01-01 17:05:04,0 days 00:03:19
1990-01-01 17:54:35,0 days 00:03:09
1990-01-01 07:25:18,0 days 00:03:22
1990-01-01 07:44:53,0 days 00:03:15
1990-01-01 08:49:39,0 days 00:03:42
1990-01-01 09:09:51,0 days 00:03:51
1990-01-01 10:19:31,0 days 00:03:54
1990-01-01 10:44:48,0 days 00:04:31
1990-01-01 11:05:35,0 days 00:03:42
1990-01-01 11:24:39,0 days 00:03:34
1990-01-01 11:44:13,0 days 00:03:52
1990-01-01 12:55:17,0 days 00:03:14
1990-01-01 13:55:16,0 days 00:03:41
1990-01-01 07:24:00,0 days 00:03:18
1990-01-01 07:43:35,0 days 00:02:38
1990-01-01 08:48:53,0 days 00:03:00
1990-01-01 09:08:54,0 days 00:03:51
1990-01-01 10:45:12,0 days 00:03:37
1990-01-01 11:04:22,0 days 00:03:29
1990-01-01 11:24:31,0 days 00:03:30
1990-01-01 11:43:34,0 days 00:03:41
1990-01-01 12:35:57,0 days 00:03:27
1990-01-01 12:53:35,0 days 00:03:26
1990-01-01 13:12:26,0 days 00:03:39
1990-01-01 13:53:24,0 days 00:03:36
1990-01-01 07:26:09,0 days 00:04:09
1990-01-01 07:45:00,0 days 00:03:32
1990-01-01 08:29:59,0 days 00:03:01
1990-01-01 08:49:58,0 days 00:03:17
1990-01-01 09:10:07,0 days 00:03:34
1990-01-01 10:21:14,0 days 00:03:48
1990-01-01 10:45:06,0 days 00:03:37
1990-01-01 11:05:23,0 days 00:03:40
1990-01-01 11:24:52,0 days 00:03:05
1990-01-01 11:45:19,0 days 00:03:10
1990-01-01 12:35:03,0 days 00:03:48
1990-01-01 12:55:02,0 days 00:03:06
